Salamat makakagawa ako ng reqs ko nito PLDT kaya natin yan wooh,inmeloluvness,2020-09-25 03:40:58,btob•rv•gncd•inft•iu,0,0,Neutral_Tweet,tl
dahil din ba sa pldt kaya postponed yung fansign sksksksksk,gyuthewon,2020-09-25 03:40:57,PH,0,0,Neutral_Tweet,tl
"RT @zekemartinx: Pldt, Smart and Globe be like:
“Yes to Academic Freeze hashtag We Maintenance As One” https://t.co/QbBz1fdEb7",nclsamonte_,2020-09-25 03:40:55,Cavite,738,0,Neutral_Tweet,tl
Wala kaming wifi apakanays pldt,MateoJusteen,2020-09-25 03:40:51,,0,0,Neutral_Tweet,tl
Tangina pldt magsara na kayo,hanabanashii_,2020-09-25 03:40:50,,0,0,Neutral_Tweet,tl
parang nararamdaman ko na pldt 🙂,seunie_ydW,2020-09-25 03:40:48,,0,0,Neutral_Tweet,tl
"@Felmea1 Hi, Please send us the details of your inquiry or concern via private message.  Kindly include your mobile… https://t.co/MbGUEG8t5i",PLDT_Cares,2020-09-25 03:40:47,Philippines,0,0,Neutral_Tweet,tl
"RT @ronbonostro: yeah, pahinga muna sa acads this day. thanks to PLDT maintenance",negsgela,2020-09-25 03:40:47,Zambales,34,0,Neutral_Tweet,tl
We will get back to you as soon as we can! We may experience intermittent internet connectivity during the service… https://t.co/BixVsHBPE2,BuskowitzG,2020-09-25 03:40:44,Republic of the Philippines,0,0,Neutral_Tweet,tl
"Ayan na, pldt kaya pa ba",KLWKNQ,2020-09-25 03:40:42,"𝐝𝐞𝐚𝐧. 𝐚𝐫𝐢. 𝐲𝐮𝐢. 𝐦𝐨𝐦𝐨𝐲. 𝐤𝐨𝐠𝐢. ♡

20+ ooc. ",0,1,Neutral_Tweet,tl
tl dead or y'all affected of the pldt maintenance?,ANNEBBRIGHTVC,2020-09-25 03:40:40,chivaaree's residence,0,0,Neutral_Tweet,tl
Himala pldt kusog mo run HAHAHAHA,JoshBiaca,2020-09-25 03:40:38,,0,0,Neutral_Tweet,tl
"RT @_rglnmy: Other schools: *suspends classes because of PLDT's 5-day maintenance*
My school: https://t.co/DeFLJg7TED",ziarremanisha,2020-09-25 03:40:36,,968,0,Neutral_Tweet,tl
"@frnndzvanessa Definitely sad to hear the troubles you are experiencing, @frnndzvanessa. Kindly send the following… https://t.co/wERogsZUUy",PLDT_Cares,2020-09-25 03:40:36,Philippines,0,0,Neutral_Tweet,tl
@PLDT_Cares @PLDTHome @pldt @PLDTEnterprise ano no ho!...16days n ako nagrereklamo sainyo..yun mail ko sa payments@… https://t.co/3Rl7CcKufm,paulinesanto1,2020-09-25 03:40:32,,0,0,Neutral_Tweet,tl
RT @biancake___: PLDT is more powerful than CHED,Rnstn_Wynn,2020-09-25 03:40:31,"Pila, Calabarzon",4307,0,Neutral_Tweet,tl
@maesterbytes Today sir 😭 https://t.co/vrgNON25hN,cgarranz,2020-09-25 03:40:31,"Manila, Philippines",0,0,Neutral_Tweet,tl
"RT @josephinepaulaa: para akong nakafree data, walang nagloload na pictures,, pldt naman 😾",moseeees15,2020-09-25 03:40:30,Republic of the Philippines,0,0,Neutral_Tweet,tl
"RT @cluoedo: google                pldt
                 🤝                                
students need a break",angeles_gabee,2020-09-25 03:40:29,,36,0,Neutral_Tweet,tl
potanginuh pldt nagbabaga na dugo ko sainyo,jenre_,2020-09-25 03:40:29,got no place to go rn ,0,0,Neutral_Tweet,tl
Wow ang lakas ng pldt and smart ha mas lakas pa ata sa ched ahahahah,ItsLeaangela,2020-09-25 03:40:28,Cagayan De Oro City,0,0,Neutral_Tweet,tl
napakabagal na naman pldt,junkyurist,2020-09-25 03:40:28,,0,0,Neutral_Tweet,tl
"RT @ronbonostro: yeah, pahinga muna sa acads this day. thanks to PLDT maintenance",dreniel15,2020-09-25 03:40:18,@davaocity,34,0,Neutral_Tweet,tl
karon lang jud ko kaingon og thank u PLDT HAHAHAHAHAHA,Jeromiest,2020-09-25 03:40:13,,0,0,Neutral_Tweet,tl
